Symbol,Market_Cap (B),Dividend_Growth,Dividend_Yield,Momentum
AAPL,2257.1595072,0.23871160611983547,0.0060086316219017605,0.7613794910050854
CSCO,216.8731211,0.32807752661305006,0.027837259679451058,0.22597003558008066
KO,230.6385,0.06450243416912822,0.03060843493755658,0.15154112949678558
XOM,238.4743393,0.07278849579127278,0.061691189672280246,0.22736201011412738
HD,346.8993901,0.20623339655692902,0.018715493522998797,0.44055949044835235
INTC,232.5888,0.0781616418878115,0.02277039800248584,0.2308779072164555
JNJ,429.6577171,0.06553469811913655,0.024390244997177898,0.1876512158443423
JPM,457.758062,0.4685264870225887,0.023801652892561986,0.453991364209725
MSFT,1907.1246872000002,0.144051856939089,0.007978012712376283,0.5747327040115023
NKE,208.47665890000002,0.13709335991523222,0.007645144162696044,0.38017081299906047
PFE,214.5361913,0.0777249951887655,0.037506475198565155,0.08925567535961414
PG,321.1591787,0.05184574513726272,0.023776491646167294,0.2586320634899075
UNH,372.7394394,0.28478895589268693,0.012243346007604563,0.3804711561961558
VZ,232.9578,0.02928637731185646,0.04390980137429346,0.10587784133084517
V,503.41391830000003,0.25368881829450973,0.0053064241684454535,0.2545257031580634
WMT,389.32958390000005,0.061616057280302575,0.015609191529001623,0.20847896675754563
DIS,335.0251054,0.18046054177607695,0.009315424640845341,0.49383910838012895
CMCSA,249.4699035,0.2275970292731387,0.01657458586823951,0.32369949204225223
NVDA,383.0771058,0.5591677689151776,0.0010401937030632353,0.720098557495349
ABT,216.4808927,0.08322079979093246,0.011832374988574715,0.3999335325295039
T,219.6978,0.02158798986278645,0.06759830903659246,0.0823612362754093
BAC,342.6443895,inf,0.018054162003913604,0.4582795605144521
MA,391.5238169,0.4313663135110504,0.004112370447169145,0.35598566295258527
ORCL,216.4669725,0.2295516138450921,0.012762562940982445,0.3004159084595284
O,25.7192926,0.05148830983888786,0.040720301701224225,0.13870580092601806
