Instrument,Sell,Buy,Spread,% Change,Today High,Today Low,Margin
Germany 30,15669.4,15671.9,2.5,-0.04,15716.2,15626.4,18.00%
Hong Kong 33,25525.5,25530.5,5,-0.38,25750,25412.5,25.00%
India 50,17915.8,17918.8,3,-1.7,18251.3,17842.2,16.90%
Japan 225,28854,28861,7,0.5,28905,28675,16.90%
Natural Gas,5.576,5.584,0.8,-6.13,5.994,5.545,17.40%
Netherlands 25,811.168,811.418,25,-0.59,818.642,810.618,18.00%
Platinum,1024.157,1025.956,179.9,1.34,1033.838,1007.774,21.90%
Singapore 30,369.76,370.06,3,0.12,370.88,367.17,25.00%
Soybeans,12.415,12.432,1.7,-0.57,12.588,12.421,9.00%
Sugar,0.19029,0.19054,2.5,-0.6,0.19294,0.18974,7.70%
Taiwan Index,678.4,679.2,0.8,-0.03,679.6,673.8,16.90%
UK 100,7240.8,7242.4,1.6,-0.17,7270.6,7219.3,18.00%
UK 10Y Gilt,126.011,126.051,4,-0.33,126.442,125.576,5.60%
US 10Y T-Note,131.211,131.237,2.6,-0.16,131.464,131.005,3.30%
US 2Y T-Note,109.724,109.738,1.4,0.01,109.782,109.587,2.10%
US 5Y T-Note,122.12,122.138,1.8,-0.05,122.31,121.883,2.70%
US Nas 100,15754.7,15755.2,0.5,0.93,15770.2,15607.8,7.70%
US Russ 2000,2287.05,2287.35,30,1.32,2293.55,2253.464,8.40%
US SPX 500,4585.6,4585.9,0.3,0.62,4594.2,4554.6,6.20%
US T-Bond,161.463,161.504,4.1,-0.1,162.146,161.234,4.60%
US Wall St 30,35637.3,35638.8,1.5,0.25,35728.8,35513.8,5.90%
West Texas Oil,82.104,82.134,3,-0.45,83.073,81.019,9.40%
Wheat,7.63,7.64,1,1.14,7.739,7.456,8.70%
